baseline,estimate,upper,lower,NL,Model,dropped
0,-0.09660834490472345,-9.735097323536196e-4,-0.1922431800770933,10,TNL10,BLR
25,-0.32722784116332865,-0.17474656083204174,-0.47970912149461553,10,TNL10,BLR
30,-0.37335174041504965,-0.19010056623538427,-0.556602914594715,10,TNL10,BLR
0,-0.005685430020424889,0.055668699770581864,-0.06703955981143164,8,TNL8,BOL
25,-0.30481935830437934,-0.18194774797964805,-0.4276909686291106,8,TNL8,BOL
30,-0.3646461439611702,-0.21240285024086258,-0.5168894376814778,8,TNL8,BOL
0,0.07260489017077171,0.1458566337512452,-6.468534097017892e-4,9,TNL9,BOL
25,-0.21542536057695147,-0.07673252782016665,-0.3541181933337363,9,TNL9,BOL
30,-0.27303141072649606,-0.10314847205596242,-0.44291434939702967,9,TNL9,BOL
0,-0.09841004538561948,-0.002590995704306265,-0.1942290950669327,10,TNL10,BOL
25,-0.3458930730626196,-0.19211383185151001,-0.49967231427372927,10,TNL10,BOL
30,-0.39538967859801954,-0.21061150015197308,-0.580167857044066,10,TNL10,BOL
0,-0.017750145552200704,0.04289392578255209,-0.0783942168869535,8,TNL8,BRA
25,-0.26721694434584153,-0.14076903625738876,-0.3936648524342943,8,TNL8,BRA
30,-0.3171103041045697,-0.16060676728260462,-0.4736138409265348,8,TNL8,BRA
0,0.06068169467348746,0.13274135862582684,-0.011377969278851909,9,TNL9,BRA
25,-0.17748925016746028,-0.03608338204912506,-0.31889511828579553,9,TNL9,BRA
30,-0.22512343913564983,-0.052194909409291806,-0.3980519688620079,9,TNL9,BRA
0,-0.10706940485053672,-0.012156661797149249,-0.2019821479039242,10,TNL10,BRA
25,-0.3165511381847598,-0.15940024464303745,-0.47370203172648206,10,TNL10,BRA
30,-0.3584474848516044,-0.16980063778683788,-0.5470943319163709,10,TNL10,BRA
0,-0.021923050758358435,0.04401694085573628,-0.08786304237245314,8,TNL8,CAN
25,-0.2891230563446426,-0.16420840923131697,-0.4140377034579682,8,TNL8,CAN
30,-0.3425630574618995,-0.1869226814362503,-0.49820343348754875,8,TNL8,CAN
0,0.05120613781326425,0.13233197449719247,-0.029919698870663973,9,TNL9,CAN
25,-0.19208791989283508,-0.052241552899943505,-0.3319342868857267,9,TNL9,CAN
30,-0.24074673143405498,-0.06827735009792665,-0.41321611277018333,9,TNL9,CAN
0,-0.14725815679674428,-0.047904122442004676,-0.2466121911514839,10,TNL10,CAN
25,-0.30514112522472403,-0.15362660243897125,-0.4566556480104768,10,TNL10,CAN
30,-0.33671771891032004,-0.15494869818406737,-0.5184867396365727,10,TNL10,CAN
0,-0.007852327493867587,0.05324661638334878,-0.06895127137108395,8,TNL8,CHE
25,-0.29477810226597534,-0.17262327766328067,-0.41693292686867,8,TNL8,CHE
30,-0.352163257220397,-0.20083907519253763,-0.5034874392482563,8,TNL8,CHE
0,0.06729414882319965,0.1402562054185887,-0.005667907772189382,9,TNL9,CHE
25,-0.201547094097629,-0.06424563467083583,-0.33884855352442217,9,TNL9,CHE
30,-0.2553153426817947,-0.08716713758744862,-0.4234635477761407,9,TNL9,CHE
0,-0.10426980636451257,-0.008699230268859756,-0.1998403824601654,10,TNL10,CHE
25,-0.32867894328419,-0.17619329320273328,-0.48116459336564676,10,TNL10,CHE
30,-0.37356077066812543,-0.1903412616270283,-0.5567802797092225,10,TNL10,CHE
0,-0.006629223462890497,0.05479333242708122,-0.0680517793528622,8,TNL8,CHL
25,-0.2900748235297708,-0.1678507636442732,-0.41229888341526844,8,TNL8,CHL
30,-0.34676394354314694,-0.1953492203695464,-0.4981786667167475,8,TNL8,CHL
0,0.07219828580839076,0.1455943091208608,-0.0011977375040792826,9,TNL9,CHL
25,-0.19998352012205964,-0.062487970953914895,-0.3374790692902044,9,TNL9,CHL
30,-0.25441988130814974,-0.08604909938513891,-0.42279066323116055,9,TNL9,CHL
0,-0.10607367984371212,-0.009839717387724628,-0.2023076422996996,10,TNL10,CHL
25,-0.32780394623331544,-0.17497173472767366,-0.4806361577389572,10,TNL10,CHL
30,-0.37214999951123606,-0.18859366865400798,-0.5557063303684642,10,TNL10,CHL
